layer neuron connection weight
 -999 -999 -999 0.0849661
0 0 0 -0.447164
0 0 1 0.158352
0 0 2 -0.213289
 -999 -999 -999 0.119971
0 1 0 0.0159776
0 1 1 0.103873
0 1 2 0.113494
 -999 -999 -999 0.295227
0 2 0 -0.0929484
0 2 1 0.0127503
0 2 2 -0.208399
 -999 -999 -999 0.00748649
1 0 0 -0.438821
1 0 1 0.0612304
1 0 2 -0.0424463
 -999 -999 -999 0.139118
1 1 0 0.0276858
1 1 1 0.0842572
1 1 2 0.0261461
 -999 -999 -999 0.146518
2 0 0 -0.276807
2 0 1 0.116122
 -999 -999 -999 0.0172274
2 1 0 -0.0912446
2 1 1 0.00154142

